"","customer_id","customer_age","age_group","customer_gender","monetary_value","total_gross_profit","total_returns","frequency","recency_days","AOV","M_Score","F_Score","R_Score","RFM_Score","customer_tier"
"1","C10000",54,"Older Adults","Male",210.58,19.71,0,2,5,105.29,1,1,3,5,"Silver"
"2","C10001",24,"Young Adults","Female",3246.02,493.9,0,5,194,649.204,3,3,1,7,"Silver"
"3","C10002",51,"Older Adults","Other",216.85,31.39,0,5,401,43.37,1,3,1,5,"Silver"
"4","C10003",38,"Middle-Aged","Male",154.3,26.28,0,3,72,51.4333333333333,1,2,2,5,"Silver"
"5","C10004",22,"Young Adults","Female",716.99,82.7,0,3,600,238.996666666667,2,2,1,5,"Silver"
"6","C10005",26,"Middle-Aged","Male",216.26,45.34,0,3,210,72.0866666666667,1,2,1,4,"Bronze"
"7","C10006",57,"Seniors","Female",355.74,83.93,0,2,201,177.87,2,1,1,4,"Bronze"
"8","C10007",32,"Middle-Aged","Female",734.63,189.29,0,6,70,122.438333333333,2,3,2,7,"Silver"
"9","C10008",37,"Middle-Aged","Male",276.66,68.43,0,2,34,138.33,1,1,3,5,"Silver"
"10","C10009",35,"Middle-Aged","Male",659.55,129.99,0,5,283,131.91,2,3,1,6,"Silver"
"11","C10010",45,"Older Adults","Female",1578,190.67,0,3,377,526,3,2,1,6,"Silver"
"12","C10011",68,"Seniors","Male",1381.07,224.16,0,6,68,230.178333333333,3,3,2,8,"Gold"
"13","C10012",36,"Middle-Aged","Male",1801.64,192.33,0,5,211,360.328,3,3,1,7,"Silver"
"14","C10013",29,"Middle-Aged","Female",681.33,118.67,0,4,176,170.3325,2,2,2,6,"Silver"
"15","C10014",31,"Middle-Aged","Male",215.05,11.2,0,2,284,107.525,1,1,1,3,"Bronze"
"16","C10015",18,"Young Adults","Female",1865.9,202.99,1,5,190,373.18,3,3,1,7,"Silver"
"17","C10016",40,"Middle-Aged","Female",796.44,133.5,1,6,25,132.74,3,3,3,9,"Gold"
"18","C10017",50,"Older Adults","Female",68.11,10.94,0,2,315,34.055,1,1,1,3,"Bronze"
"19","C10018",55,"Older Adults","Male",728.1,117.87,0,12,12,60.675,2,3,3,8,"Gold"
"20","C10019",60,"Seniors","Male",4.4,-0.6,0,1,33,4.4,1,1,3,5,"Silver"
"21","C10020",65,"Seniors","Female",627.31,79.57,0,5,108,125.462,2,3,2,7,"Silver"
"22","C10021",48,"Older Adults","Male",1079.12,284.28,0,3,192,359.706666666667,3,2,1,6,"Silver"
"23","C10022",31,"Middle-Aged","Male",914.77,183.46,0,4,38,228.6925,3,2,3,8,"Gold"
"24","C10023",40,"Middle-Aged","Male",376.53,63.06,0,6,63,62.755,2,3,3,8,"Gold"
"25","C10024",58,"Seniors","Female",237.69,51.08,1,5,8,47.538,1,3,3,7,"Silver"
"26","C10025",33,"Middle-Aged","Female",720.37,68.82,0,4,108,180.0925,2,2,2,6,"Silver"
"27","C10026",54,"Older Adults","Female",283.3,42.78,0,3,233,94.4333333333333,1,2,1,4,"Bronze"
"28","C10027",48,"Older Adults","Female",963.57,249.6,0,10,9,96.357,3,3,3,9,"Gold"
"29","C10028",51,"Older Adults","Female",317.22,74.69,0,5,131,63.444,2,3,2,7,"Silver"
"30","C10029",25,"Young Adults","Male",170.05,29.82,0,4,415,42.5125,1,2,1,4,"Bronze"
"31","C10030",63,"Seniors","Female",273.56,58.27,0,3,50,91.1866666666667,1,2,3,6,"Silver"
"32","C10031",33,"Middle-Aged","Female",137.27,31.08,0,2,178,68.635,1,1,2,4,"Bronze"
"33","C10032",42,"Older Adults","Female",91.03,19.71,0,3,120,30.3433333333333,1,2,2,5,"Silver"
"34","C10033",21,"Young Adults","Female",39.02,-3.32,0,1,425,39.02,1,1,1,3,"Bronze"
"35","C10034",20,"Young Adults","Female",177.52,37.2,0,3,39,59.1733333333333,1,2,3,6,"Silver"
"36","C10035",43,"Older Adults","Female",97.72,21.42,0,1,209,97.72,1,1,1,3,"Bronze"
"37","C10036",29,"Middle-Aged","Female",54.1,7.27,0,3,409,18.0333333333333,1,2,1,4,"Bronze"
"38","C10037",55,"Older Adults","Male",1035.96,116.01,0,4,47,258.99,3,2,3,8,"Gold"
"39","C10038",26,"Middle-Aged","Male",146.09,24.1,0,5,152,29.218,1,3,2,6,"Silver"
"40","C10039",55,"Older Adults","Female",166.46,39.66,0,1,113,166.46,1,1,2,4,"Bronze"
