"total_amount","price","quantity","discount","categoryElectronics","categoryFashion","categoryGrocery","categoryHome","categorySports","categoryToys",".fitted",".resid"
139.47,164.08,1,0.15,0,0,0,1,0,0,159.984792503545,-20.5147925035448
24.73,24.73,1,0,0,0,1,0,0,0,-12.5138880760154,37.2438880760154
166.8,175.58,1,0.05,1,0,0,0,0,0,182.996958992814,-16.1969589928145
63.67,63.67,1,0,1,0,0,0,0,0,25.8048203985378,37.8651796014622
13.88,16.33,1,0.15,0,0,0,1,0,0,-59.5531237538307,73.4331237538307
97.04,53.91,2,0.1,0,0,0,0,0,0,127.616606368744,-30.5766063687438
266.5,266.5,1,0,1,0,0,0,0,0,327.184688787597,-60.6846887875968
9.98,9.98,1,0,0,0,0,0,0,0,-34.4305328462102,44.4105328462102
6.28,6.61,1,0.05,0,1,0,0,0,0,-48.5299745304463,54.8099745304463
10.91,10.91,1,0,0,0,1,0,0,0,-33.0486698200217,43.9586698200217
5.95,6.61,1,0.1,0,0,0,0,0,0,-57.6220200875259,63.5720200875259
16.22,16.22,1,0,0,0,0,0,0,0,-25.1586777027516,41.3786777027516
9.5,10.56,1,0.1,0,0,1,0,0,0,-51.7528169117788,61.2528169117788
7.12,7.12,1,0,0,0,0,0,0,1,-38.6801331202955,45.8001331202955
78.38,39.19,2,0,0,0,0,1,0,0,116.646873395131,-38.2668733951313
40.42,12.63,4,0.2,0,0,0,1,0,0,270.727423377196,-230.307423377196
91.78,96.61,1,0.05,0,0,0,0,1,0,77.5617387190663,14.2182612809337
48,16,3,0,0,1,0,0,0,0,204.427981507423,-156.427981507423
1468.64,734.32,2,0,1,0,0,0,0,0,1137.26314295657,331.376857043433
50.52,50.52,1,0,0,1,0,0,0,0,25.8068081018371,24.7131918981629
35.98,17.99,2,0,0,0,0,0,0,1,92.4280954391472,-56.4480954391472
39.54,39.54,1,0,0,1,0,0,0,0,9.49190914748192,30.0480908525181
128.8,128.8,1,0,1,0,0,0,0,0,122.579808458388,6.22019154161202
176.45,176.45,1,0,0,1,0,0,0,0,212.922948841541,-36.4729488415414
587.47,345.57,2,0.15,0,0,0,0,1,0,544.257669610837,43.2123303891627
37.47,12.49,3,0,0,0,0,0,0,0,199.212562989228,-161.742562989228
133.63,157.21,1,0.15,0,0,0,0,1,0,149.421625440419,-15.7916254404194
22.48,11.24,2,0,0,1,0,0,0,0,82.3984444426174,-59.9184444426174
41.94,20.97,2,0,0,0,1,0,0,0,96.8560006198374,-54.9160006198374
108.84,54.42,2,0,0,0,0,1,0,0,139.276737791746,-30.436737791746
46.69,54.93,1,0.15,0,0,0,1,0,0,-2.19837879589705,48.888378795897
8.77,10.32,1,0.15,0,0,1,0,0,0,-61.2014722820683,69.9714722820683
7.56,7.56,1,0,0,0,1,0,0,0,-38.0263484627439,45.5863484627439
21.21,22.33,1,0.05,0,0,0,0,1,0,-32.8089984694133,54.0189984694133
25.68,12.84,2,0,0,0,1,0,0,0,84.7758431973504,-59.0958431973504
17.78,8.89,2,0,0,0,0,0,0,0,78.9066400216033,-61.1266400216033
67.8,33.9,2,0,0,1,0,0,0,0,116.068354306524,-48.2683543065235
17.92,17.92,1,0,0,1,0,0,0,0,-22.6326915258477,40.5526915258477
101.5,50.75,2,0,0,0,0,0,0,0,141.105334942305,-39.6053349423054
11.14,13.11,1,0.15,0,0,0,0,0,0,-57.0558832035027,68.1958832035027
267.88,297.65,1,0.1,0,0,0,1,0,0,367.545057854179,-99.6650578541787
6.2,6.2,1,0,0,0,1,0,0,0,-40.047137404267,46.247137404267
72.1,36.05,2,0,0,0,0,1,0,0,111.981228338968,-39.8812283389678
40.17,47.26,1,0.15,0,1,0,0,0,0,-6.31327853217021,46.4832785321702
313.25,313.25,1,0,1,0,0,0,0,0,396.649308652452,-83.3993086524516
36.99,13.7,3,0.1,0,0,1,0,0,0,182.826379683336,-145.836379683336
27.21,9.07,3,0,0,0,0,0,0,1,194.130873150986,-166.920873150986
24.9,12.45,2,0,0,0,0,0,0,0,84.1963522508842,-59.2963522508842
7.33,7.33,1,0,0,0,0,0,0,1,-38.3680995337368,45.6980995337368
51.16,53.85,1,0.05,0,0,0,0,0,1,21.6627237030456,29.4972762969544
16.12,16.12,1,0,0,0,1,0,0,0,-25.3072651249224,41.4272651249224
783.48,195.87,4,0,0,0,0,1,0,0,579.367197991311,204.112802008689
8.29,8.29,1,0,0,0,0,0,0,0,-36.941660280897,45.231660280897
804.26,402.13,2,0,1,0,0,0,0,0,643.670585247345,160.589414752655
18.94,19.94,1,0.05,0,0,1,0,0,0,-28.7232711550769,47.6632711550769
13.04,6.52,2,0,0,0,1,0,0,0,75.385118116155,-62.345118116155
4.84,5.38,1,0.1,0,0,0,0,0,1,-59.4496453802269,64.2896453802269
668.84,167.21,4,0,0,0,0,1,0,0,536.782042797156,132.057957202844
114.21,134.37,1,0.15,0,0,0,1,0,0,115.839469376596,-1.62946937659643
368.55,122.85,3,0,0,0,0,1,0,0,355.911886552708,12.6381134472916
14.91,14.91,1,0,0,1,0,0,0,0,-27.1051729331892,42.0151729331892
10.46,10.46,1,0,0,0,0,0,0,0,-33.7173132197904,44.1773132197904
368.67,368.67,1,0,1,0,0,0,0,0,478.996458019516,-110.326458019516
12.17,13.52,1,0.1,0,0,1,0,0,0,-47.3546292155227,59.5246292155227
110.7,116.53,1,0.05,0,0,0,1,0,0,107.515564375483,3.18443562451731
20.24,20.24,1,0,0,0,1,0,0,0,-19.1854633314849,39.4254633314849
149.39,175.75,1,0.15,0,0,0,0,1,0,176.969733510888,-27.5797335108881
20.91,20.91,1,0,0,1,0,0,0,0,-18.1899276029405,39.0999276029405
53.72,13.43,4,0,0,1,0,0,0,0,315.566060527109,-261.846060527109
3.17,3.96,1,0.2,0,0,1,0,0,0,-79.7436778892116,82.9136778892116
17,8.5,2,0,0,0,0,0,0,1,78.3271490751371,-61.3271490751371
